Name,Filename,Status
MIPS CPU,MipsCPU.v,Done (Documented & Tested)
Control Unit,ControlUnit.v,Done (Documented & Tested)
Register File,RegFile.v,Done (Documented & Tested)
Data Memory,DataMemory.v,Done (Documented & Tested)
ALU (arithmetic-logic unit),ALU.v,Done (Documented & Tested)
Instruction Memory,InstMem.v,Done (Documented & Tested)
Program Counter,PC.v,Done (Documented & Tested)
Shift Left 2,ShiftLeft2.v,Done (Documented & Tested)
Sign Extend,SignExtend.v,Done (Documented & Tested)
Mux1,Mux1.v,Done (Documented & Tested)
Mux2,Mux2.v,Done (Documented & Tested)
Mux3,Mux3.v,Done (Documented & Tested)
Mux4,Mux4.v,Done (Documented & Tested)
Mux5,Mux5.v,Done (Documented & Tested)
Mux6,Mux6.v,Done (Documented & Tested)
